"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Chile","CHL","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.45","4.24","4.25","4.1","4.09","3.99","3.91","3.86","3.68","3.63","3.58","3.67","3.83","3.84","3.4","3.4","3.56","3.56","3.49","3.66","3.58","3.18","","",
"China","CHN","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.89","10.38","10.11","10.48","10.84","10.72","10.41","9.81","9.18","8.95","8.93","8.75","8.41","8.05","7.69","7.21","6.71","6.51","6.39","6.31","6.37","","","",
"Cote d'Ivoire","CIV","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.18","4.1","4.51","4.48","6.11","6.26","5.99","6.37","6.11","5.41","4.49","5.4","5.5","5.11","4.71","3.96","3.88","3.72","3.48","3.32","3.43","","","",
"Cameroon","CMR","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","5.82","5.86","5.78","5.57","5.49","4.89","4.41","4.33","4.57","4.47","4.54","4.53","4.52","4.63","4.62","4.51","4.39","4.33","4.24","4.35","","","",
"Congo, Dem. Rep.","COD","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.45","17.37","17.46","17.15","16.71","16.35","16.12","15.72","15.35","15.37","14.88","14.77","17.04","16.51","15.83","14.89","14.91","14.45","13.82","13.45","13.43","","","",
"Congo, Rep.","COG","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.16","2.33","2.25","2.63","2.71","2.71","3.28","3.11","3.14","3.21","3.18","4.14","4.32","4.57","4.24","4.62","5.39","5.65","6.12","6.63","7.09","","","",
"Colombia","COL","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.02","2.97","2.84","2.79","2.67","2.66","2.63","2.45","2.49","2.56","2.41","2.31","2.15","2.68","2.6","2.56","2.6","2.45","2.31","2.44","2.46","2.2","","",
"Comoros","COM","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.66","2.68","2.65","2.88","2.97","2.87","3.02","2.57","2.51","2.65","2.78","2.58","2.59","2.72","2.58","2.66","2.79","3.06","3.11","3.19","3.57","4.3","","",
"Cabo Verde","CPV","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.28","3.61","3.68","3.72","3.48","3.37","3.39","3.01","2.64","2.92","3.03","3.21","2.72","2.7","2.65","2.64","2.51","2.47","2.5","2.42","2.64","2.52","","",
"Costa Rica","CRI","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.41","2.34","2.39","2.45","2.78","2.67","2.71","2.64","2.54","2.58","2.47","2.38","2.36","2.42","2.37","2.23","2.11","1.99","1.91","1.97","1.97","1.93","","",
"Caribbean small states","CSS","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.36255366896713","8.76328749092826","8.7395779832018","9.01550800926799","8.83929622348216","9.41114595715549","9.68119000431272","9.83482945257825","9.22558437558803","9.39992591779931","9.67202637385883","9.671865864144","9.4996793952869","9.46961451915145","9.75167459847289","9.3084185260039","8.70618567048122","8.5998378133953","8.61549850193949","8.79105538628857","8.06386620158984","","","",
"Cuba","CUB","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.46","3.28","3.01","2.89","2.67","2.27","2.02","1.79","1.83","1.75","1.85","1.74","1.73","1.6","1.61","1.57","1.54","1.45","1.35","1.27","1.51","","","",
