,country,year,rgdpo,pop,emp,avh,cn,csh_c,csh_i,csh_x,csh_m
1450,Belarus,2000,97656.96094,9.871632,4.372109413,1746.1490000000003,506728.0938,0.488452584,0.139974371,0.16612646,-0.184716135
1455,Belarus,2005,115156.7578,9.562088,4.303769588,1746.1490000000003,343420.375,0.633852065,0.192771956,0.263296127,-0.286950141
1460,Belarus,2010,177337.6563,9.420574,4.5766716,1746.1490000000003,372660.5625,0.611376107,0.22243236,0.221867695,-0.329182982
1465,Belarus,2015,186224.9531,9.439423,4.425303459,1746.1490000000003,490874.1563,0.583936751,0.163402945,0.238691196,-0.297733188
1469,Belarus,2019,204795.3438,9.452411,4.306441784,1746.1490000000003,566524.1875,0.54553622,0.162770659,0.247753918,-0.329537272
2210,Switzerland,1990,281175.2188,6.652868,3.832724094,1716.22,1231487.5,0.552918732,0.405619264,0.383507609,-0.436212629
2215,Switzerland,1995,296645.7813,6.995521,3.821544647,1720.27,1375817.5,0.555157602,0.340413779,0.438208163,-0.437943459
2220,Switzerland,2000,338564.625,7.143761,3.928282261,1712.74,1320674.5,0.5604195,0.301295102,0.472868621,-0.474326313
2225,Switzerland,2005,389669.3125,7.386816,4.043704987,1689.97,1308432.625,0.528244436,0.295132548,0.59009403,-0.542663395
2230,Switzerland,2010,505411.1563,7.808675,4.389478683,1624.35,1993188.125,0.490820795,0.287911743,0.592276394,-0.521479368
2235,Switzerland,2015,592828.6875,8.296775,4.816497326,1589.48,2532057.75,0.460032165,0.297943115,0.745625615,-0.642150342
2239,Switzerland,2019,646919.625,8.591365,5.01120472,1556.88,2815220.0,0.450471401,0.305986106,0.685595334,-0.592603862
3190,Czech Republic,1990,250625.6563,10.340875,5.414252281,1746.1490000000003,1092140.5,0.441355109,0.215666905,0.120603375,-0.136286139
3195,Czech Republic,1995,232851.0156,10.358193,5.132678032,1857.9,1416321.375,0.45621258,0.251107782,0.208183855,-0.230640322
3200,Czech Republic,2000,231523.2031,10.289373,4.886872292,1895.56,1291099.375,0.507059693,0.261927873,0.287194192,-0.306314647
3205,Czech Republic,2005,279153.0625,10.258167,4.956709862,1816.99,1350191.0,0.500919521,0.27885437,0.568677366,-0.58220154
3210,Czech Republic,2010,318896.5625,10.536518,5.098990917,1799.5,1715475.0,0.511727214,0.272849381,0.668793142,-0.706876636
3215,Czech Republic,2015,347158.625,10.601397,5.221146584,1756.16,1976402.875,0.479034752,0.299534619,0.660924852,-0.684871972
3219,Czech Republic,2019,401072.2188,10.689209,5.481432438,1787.54,2112986.75,0.476090103,0.290892303,0.665724158,-0.681533754
3260,Germany,1990,2221450.25,79.053984,39.54772949,1583.16,9037278.0,0.598698795,0.291722417,0.31357646,-0.337929398
